更新日期,#genre#
2026-08-23,https://cnb.cool/junchao.tang/jtv/-/git/raw/main/Pictures/Robot.mp4
📺央视频道,#genre#
CCTV1综合,http://san.qquu.bid:1122/diyp_proxy.php?id=193331&did=145ccca56565c27a&exp=1780207047&sig=06878d86231257da5eb7cebe64f48198463caf436d4ff1311c710cffa4fae611$IPV4•线路1
CCTV1综合,http://san.qquu.bid:1122/diyp_proxy.php?id=193349&did=145ccca56565c27a&exp=1780207047&sig=8669ee46098d712282afd864423c914db0bd24cc4fb32477af9eaf51ab2accd8$IPV4•线路2
CCTV1综合,http://san.qquu.bid:1122/diyp_proxy.php?id=193395&did=145ccca56565c27a&exp=1780207047&sig=f1e76280fa37c8ce4ba28f6bf3baf4036b12833680c6928a84958b889f3c3c23$IPV4•线路3
CCTV1综合,http://118.251.19.80:8188/udp/239.76.253.151:9000$IPV4•线路4
CCTV1综合,http://118.251.19.80:8188/udp/239.76.251.87:9000$IPV4•线路5
CCTV1综合,http://118.251.19.80:8188/udp/239.76.246.151:1234$IPV4•线路6
CCTV1综合,http://58.46.30.193:8188/udp/239.76.253.151:9000$IPV4•线路7
CCTV1综合,http://58.46.30.193:8188/udp/239.76.251.87:9000$IPV4•线路8
CCTV1综合,http://58.46.30.193:8188/udp/239.76.246.151:1234$IPV4•线路9
CCTV1综合,http://27.18.144.38:9100/rtp/239.254.96.96:8550$IPV4•线路10
CCTV1综合,http://183.236.43.98:4013/udp/239.77.1.144:5146$IPV4•线路11
CCTV1综合,http://113.103.53.36:8686/udp/239.77.1.144:5146$IPV4•线路12
CCTV1综合,http://114.254.39.86:8888/rtp/239.3.1.129:8008$IPV4•线路13
CCTV1综合,http://111.196.134.175:20000/rtp/239.3.1.129:8008$IPV4•线路14
CCTV1综合,http://114.254.38.8:8888/rtp/239.3.1.129:8008$IPV4•线路15
CCTV1综合,http://114.254.34.194:8888/rtp/239.3.1.129:8008$IPV4•线路16
CCTV1综合,http://123.118.58.227:8686/rtp/239.3.1.129:8008$IPV4•线路17
CCTV1综合,http://114.254.83.133:4022/rtp/239.3.1.129:8008$IPV4•线路18
CCTV1综合,http://171.213.237.77:8188/udp/239.93.0.184:5140$IPV4•线路19
CCTV1综合,http://171.213.242.36:8188/udp/239.93.0.184:5140$IPV4•线路20
CCTV1综合,http://115.211.1.213:8001/udp/233.50.200.130:5140$IPV4•线路21
